Temp./C,Time/min,DSC/(mW/mg),Sensit./(uV/mW),Segment
    26.71100,    0.40833, 6.8421e-002,3.74178,1
    26.70482,    0.41000, 6.8625e-002,3.74178,1
    26.69859,    0.41167, 6.8828e-002,3.74178,1
    26.69235,    0.41333, 6.9031e-002,3.74178,1
    26.68618,    0.41500, 6.9255e-002,3.74178,1
    26.67994,    0.41667, 6.9458e-002,3.74178,1
    26.67359,    0.41833, 6.9702e-002,3.74178,1
    26.66712,    0.42000, 6.9946e-002,3.74178,1
    26.66071,    0.42167, 7.0149e-002,3.74178,1
    26.65435,    0.42333, 7.0352e-002,3.74178,1
    26.64800,    0.42500, 7.0596e-002,3.74178,1
    26.64153,    0.42667, 7.0819e-002,3.74178,1
    26.63500,    0.42833, 7.1002e-002,3.74178,1
    26.62853,    0.43000, 7.1206e-002,3.74178,1
    26.62212,    0.43167, 7.1429e-002,3.74178,1
    26.61559,    0.43333, 7.1612e-002,3.74178,1
    26.60900,    0.43500, 7.1815e-002,3.74178,1
    26.60241,    0.43667, 7.2018e-002,3.74178,1
    26.59582,    0.43833, 7.2221e-002,3.74178,1
    26.58935,    0.44000, 7.2404e-002,3.74178,1
    26.58276,    0.44167, 7.2587e-002,3.74178,1
    26.57612,    0.44333, 7.2810e-002,3.74178,1
    26.56947,    0.44500, 7.3014e-002,3.74178,1
    26.56288,    0.44667, 7.3257e-002,3.74178,1
    26.55635,    0.44833, 7.3481e-002,3.74178,1
    26.54976,    0.45000, 7.3705e-002,3.74178,1
    26.54318,    0.45167, 7.3908e-002,3.74177,1
    26.53653,    0.45333, 7.4131e-002,3.74177,1
    26.52994,    0.45500, 7.4355e-002,3.74177,1
    26.52341,    0.45667, 7.4578e-002,3.74177,1
    26.51676,    0.45833, 7.4802e-002,3.74177,1
    26.51006,    0.46000, 7.5005e-002,3.74177,1
    26.50347,    0.46167, 7.5208e-002,3.74177,1
    26.49682,    0.46333, 7.5452e-002,3.74177,1
    26.49012,    0.46500, 7.5676e-002,3.74177,1
    26.48335,    0.46667, 7.5716e-002,3.74177,1
    26.47647,    0.46833, 7.5777e-002,3.74177,1
    26.46971,    0.47000, 7.5898e-002,3.74177,1
    26.46300,    0.47167, 7.6040e-002,3.74177,1
    26.45624,    0.47333, 7.6182e-002,3.74177,1
    26.44953,    0.47500, 7.6610e-002,3.74177,1
    26.44276,    0.47667, 7.7057e-002,3.74177,1
    26.43600,    0.47833, 7.7321e-002,3.74177,1
    26.42918,    0.48000, 7.7565e-002,3.74177,1
    26.42229,    0.48167, 7.7748e-002,3.74177,1
    26.41541,    0.48333, 7.7951e-002,3.74177,1
    26.40847,    0.48500, 7.8154e-002,3.74177,1
    26.40159,    0.48667, 7.8439e-002,3.74177,1
    26.39471,    0.48833, 7.8663e-002,3.74177,1
    26.38777,    0.49000, 7.8886e-002,3.74177,1
    26.38082,    0.49167, 7.9089e-002,3.74177,1
    26.37400,    0.49333, 7.9333e-002,3.74177,1
    26.36718,    0.49500, 7.9577e-002,3.74177,1
    26.36024,    0.49667, 7.9800e-002,3.74177,1
    26.35324,    0.49833, 7.9983e-002,3.74176,1
    26.34618,    0.50000, 8.0146e-002,3.74176,1
    26.33924,    0.50167, 8.0369e-002,3.74176,1
    26.33229,    0.50333, 8.0593e-002,3.74176,1
    26.32529,    0.50500, 8.0857e-002,3.74176,1
    26.31829,    0.50667, 8.1060e-002,3.74176,1
    26.31129,    0.50833, 8.1243e-002,3.74176,1
    26.30435,    0.51000, 8.1466e-002,3.74176,1
    26.29735,    0.51167, 8.1690e-002,3.74176,1
    26.29035,    0.51333, 8.1934e-002,3.74176,1
    26.28335,    0.51500, 8.2218e-002,3.74176,1
    26.27635,    0.51667, 8.2442e-002,3.74176,1
    26.26924,    0.51833, 8.2645e-002,3.74176,1
